NoQ,Q,Users,Users_f2
1,"Q3 '08",100,148.831029185867
2,"Q4 '08",148,200.397648006849
3,"Q1 '09",197,251.964266827831
4,"Q2 '09",242,303.530885648812
5,"Q3 '09",305,355.097504469794
6,"Q4 '09",360,406.664123290775
7,"Q1 '10",431,458.230742111757
8,"Q2 '10",482,509.797360932739
9,"Q3 '10",550,561.36397975372
10,"Q4 '10",608,612.930598574702
11,"Q1 '11",680,664.497217395683
12,"Q2 '11",739,716.063836216665
13,"Q3 '11",800,767.630455037647
14,"Q4 '11",845,819.197073858628
15,"Q1 '12",901,870.76369267961
16,"Q2 '12",955,922.330311500592
17,"Q3 '12",1007,973.896930321573
18,"Q4 '12",1056,1025.46354914255
19,"Q1 '13",1110,1077.03016796354
20,"Q2 '13",1155,1128.59678678452
21,"Q3 '13",1189,1180.1634056055
22,"Q4 '13",1228,1231.73002442648
23,"Q1 '14",1276,1283.29664324746
24,"Q2 '14",1317,1334.86326206844
25,"Q3 '14",1350,1386.42988088943
26,"Q4 '14",1393,1437.99649971041
27,"Q1 '15",1441,1489.56311853139
28,"Q2 '15",1490,1541.12973735237
29,"Q3 '15",1545,1592.69635617335
30,"Q4 '15",1591,1644.26297499433
31,"Q1 '16",1654,1695.82959381532
32,"Q2 '16",1712,1747.3962126363
33,"Q3 '16",1788,1798.96283145728
34,"Q4 '16",1860,1850.52945027826
35,"Q1 '17",1936,1902.09606909924
36,"Q2 '17",2006,1953.66268792022
37,"Q3 '17",2072,2005.22930674121
38,"Q4 '17",2129,2056.79592556219
39,"Q1 '18",2196,2108.36254438317
40,"Q2 '18",2234,2159.92916320415
41,"Q3 '18",2271,2211.49578202513
42,"Q4 '18",2320,2263.06240084611
43,"Q1 '19",2375,2314.6290196671
44,"Q2 '19",2414,2366.19563848808
45,"Q3 '19",2449,2417.76225730906
46,"Q4 '19",2498,2469.32887613004
47,"Q1 '20",2603,2520.89549495102
48,"Q2 '20",2701,2572.462113772
49,"Q3 '20",2740,2624.02873259298
50,"Q4 '20",2797,2675.59535141397
51,"Q1 '21",2853,2727.16197023495
52,"Q2 '21",2895,2778.72858905593
53,"Q3 '21",2910,2830.29520787691
54,"Q4 '21",2912,2881.86182669789
55,"Q1 '22",2936,2933.42844551887
56,"Q2 '22",2934,2984.99506433986
57,"Q3 '22",2958,3036.56168316084
58,"Q4 '22",2963,3088.12830198182
59,"Q1 '23",2989,3139.6949208028
60,"Q2 '23",3030,3191.26153962378
61,"Q3'23",3049,3242.82815844476
62,"Q4'23",3065,3294.39477726575
